CustomerID,CustomerName,Gender,Age,Location,JoinDate
CUST0070,Dewi Gunawan,Female,52,Bandung,2025-04-11
CUST0071,Rina Wijaya,Female,59,Jakarta,2025-03-28
CUST0072,Dewi Santoso,Male,21,Makassar,2025-08-18
CUST0073,Agus Kusuma,Male,40,Medan,2025-08-05
CUST0074,Rina Siregar,Male,65,Jakarta,2023-11-27
CUST0075,Budi Sari,Female,32,Surabaya,2023-01-08
CUST0076,Dedi Gunawan,Female,37,Surabaya,2023-04-16
CUST0077,Dewi Purnomo,Female,38,Medan,2024-10-13
CUST0078,Eko Siregar,Female,39,Jakarta,2025-07-16
CUST0079,Andi Pratama,Female,61,Jakarta,2023-12-09
CUST0080,Dedi Pratama,Male,53,Bandung,2024-11-30
CUST0081,Rizky Hidayat,Female,49,Jakarta,2023-07-14
CUST0082,Rina Santoso,Female,54,Surabaya,2025-02-27
CUST0083,Putri Siregar,Male,28,Surabaya,2023-09-15
CUST0084,Lani Santoso,Male,61,Jakarta,2024-01-04
CUST0085,Andi Kusuma,Male,64,Medan,2023-07-14
CUST0086,Dedi Siregar,Male,46,Jakarta,2024-05-10
CUST0087,Putri Kusuma,Female,28,Jakarta,2023-11-11
CUST0088,Putri Purnomo,Male,33,Medan,2024-07-04
CUST0089,Rina Lestari,Female,36,Makassar,2023-11-24
CUST0090,Dewi Gunawan,Male,47,Jakarta,2023-10-15
CUST0091,Andi Gunawan,Female,50,Medan,2023-05-01
CUST0092,Dedi Pratama,Female,33,Makassar,2025-07-14
CUST0093,Rizky Purnomo,Male,55,Jakarta,2024-02-15
CUST0094,Dedi Pratama,Female,55,Medan,2024-12-04
CUST0095,Andi Siregar,Male,55,Bandung,2025-03-29
CUST0096,Siti Sari,Female,62,Surabaya,2025-02-06
CUST0097,Agus Kusuma,Female,18,Medan,2024-11-16
CUST0098,Rizky Gunawan,Female,45,Surabaya,2025-04-12
CUST0099,Rizky Santoso,Female,38,Jakarta,2023-06-14
CUST0100,Dedi Siregar,Female,49,Surabaya,2025-04-02
CUST0101,Bambang Pratama,Female,19,Jakarta,2023-10-13
CUST0102,Andi Kusuma,Male,55,Jakarta,2025-07-29
CUST0103,Mega Wijaya,Male,44,Surabaya,2024-08-05
CUST0104,Budi Wijaya,Female,24,Makassar,2023-08-17
CUST0105,Lani Wijaya,Female,18,Bandung,2024-01-14
CUST0106,Putri Kusuma,Male,56,Jakarta,2025-05-28
CUST0107,Siti Santoso,Female,33,Surabaya,2023-09-09
CUST0108,Andi Hidayat,Male,57,Surabaya,2024-08-18
CUST0109,Andi Pratama,Male,36,Medan,2025-02-07
CUST0110,Lani Gunawan,Male,28,Surabaya,2025-06-08
CUST0111,Rizky Wijaya,Male,41,Jakarta,2024-07-03
CUST0112,Rian Kusuma,Male,20,Surabaya,2024-05-09
CUST0113,Rizky Hidayat,Male,37,Medan,2024-08-28
CUST0114,Eko Purnomo,Female,40,Makassar,2023-06-18
CUST0115,Rina Wijaya,Female,29,Surabaya,2025-06-06
CUST0116,Lani Santoso,Female,29,Medan,2025-04-02
CUST0117,Bambang Santoso,Male,37,Jakarta,2025-06-30
CUST0118,Lani Gunawan,Female,31,Jakarta,2025-04-04
CUST0119,Rina Gunawan,Female,21,Bandung,2025-01-23
CUST0120,Dedi Gunawan,Female,34,Medan,2023-02-17
CUST0121,Eko Purnomo,Female,56,Bandung,2023-04-09
CUST0122,Dewi Gunawan,Female,22,Jakarta,2024-10-24
CUST0123,Agus Hidayat,Male,26,Jakarta,2024-08-13
CUST0124,Andi Wijaya,Male,25,Surabaya,2024-03-07
CUST0125,Budi Kusuma,Female,50,Bandung,2024-07-11
CUST0126,Dewi Siregar,Male,31,Bandung,2024-12-23
CUST0127,Agus Pratama,Female,40,Jakarta,2023-05-16
CUST0128,Rina Kusuma,Female,35,Medan,2023-10-19
CUST0129,Dedi Lestari,Male,26,Jakarta,2023-01-22
CUST0130,Rizky Kusuma,Male,45,Surabaya,2023-08-25
CUST0131,Eko Sari,Male,43,Medan,2025-01-08
CUST0132,Dedi Hidayat,Female,21,Jakarta,2025-02-01
CUST0133,Bambang Gunawan,Male,23,Jakarta,2023-09-21
CUST0134,Rizky Siregar,Male,23,Jakarta,2025-07-27
CUST0135,Dewi Siregar,Female,24,Surabaya,2024-02-27
CUST0136,Dewi Santoso,Male,21,Medan,2023-07-24
CUST0137,Budi Santoso,Female,27,Medan,2025-05-13
CUST0138,Rian Siregar,Male,27,Medan,2025-06-26
CUST0139,Dewi Wijaya,Female,59,Bandung,2025-04-06
CUST0140,Bambang Hidayat,Female,22,Jakarta,2023-05-08
CUST0141,Bambang Hidayat,Male,34,Jakarta,2025-06-14
CUST0142,Putri Pratama,Female,53,Jakarta,2024-11-10
CUST0143,Rina Siregar,Male,42,Medan,2025-04-09
CUST0144,Rian Santoso,Female,62,Jakarta,2023-07-06
CUST0145,Putri Gunawan,Female,26,Jakarta,2024-01-24
CUST0146,Rian Wijaya,Female,48,Makassar,2025-03-11
CUST0147,Mega Hidayat,Female,35,Bandung,2024-06-21
CUST0148,Eko Lestari,Male,21,Jakarta,2023-01-24
CUST0149,Rian Pratama,Female,41,Bandung,2023-12-31
CUST0150,Putri Gunawan,Female,24,Jakarta,2023-09-12
CUST0151,Dedi Santoso,Male,38,Medan,2024-06-13
CUST0152,Rina Wijaya,Female,46,Jakarta,2024-01-11
CUST0153,Agus Hidayat,Female,19,Medan,2023-12-26
CUST0154,Lani Lestari,Female,44,Medan,2024-08-03
CUST0155,Lani Santoso,Male,42,Surabaya,2025-08-08
CUST0156,Putri Gunawan,Female,42,Bandung,2024-01-09
CUST0157,Lani Kusuma,Female,31,Bandung,2025-03-31
CUST0158,Andi Hidayat,Female,50,Bandung,2023-04-15
CUST0159,Rizky Santoso,Female,34,Medan,2025-04-01
CUST0160,Eko Hidayat,Female,36,Surabaya,2025-05-08
CUST0161,Mega Siregar,Male,63,Medan,2023-11-25
CUST0162,Dewi Sari,Female,18,Surabaya,2024-12-03
CUST0163,Agus Gunawan,Female,36,Surabaya,2024-04-03
CUST0164,Dedi Santoso,Female,54,Medan,2024-07-07
CUST0165,Putri Gunawan,Female,32,Bandung,2024-09-02
CUST0166,Lani Lestari,Male,39,Jakarta,2023-06-03
CUST0167,Rian Siregar,Male,28,Surabaya,2023-12-22
CUST0168,Dewi Gunawan,Male,42,Jakarta,2025-03-19
CUST0169,Rian Sari,Female,20,Surabaya,2025-03-19
CUST0170,Rina Purnomo,Male,22,Medan,2023-07-12
CUST0171,Rina Siregar,Female,19,Jakarta,2025-01-02
CUST0172,Putri Pratama,Male,38,Jakarta,2023-10-07
CUST0173,Rina Gunawan,Male,61,Jakarta,2025-04-20
CUST0174,Eko Lestari,Female,45,Bandung,2023-08-14
CUST0175,Rina Pratama,Male,43,Jakarta,2024-05-21
CUST0176,Siti Siregar,Male,42,Jakarta,2025-03-03
CUST0177,Budi Hidayat,Female,36,Jakarta,2024-05-19
CUST0178,Lani Sari,Male,33,Jakarta,2024-04-07
CUST0179,Andi Pratama,Female,52,Surabaya,2023-11-22
CUST0180,Dewi Lestari,Male,30,Medan,2024-10-12
CUST0181,Andi Pratama,Male,52,Jakarta,2023-05-29
CUST0182,Dewi Sari,Female,23,Surabaya,2023-10-15
CUST0183,Dedi Santoso,Male,21,Jakarta,2025-08-24
CUST0184,Lani Kusuma,Male,49,Jakarta,2023-04-22
CUST0185,Agus Lestari,Female,59,Surabaya,2023-09-29
CUST0186,Mega Siregar,Female,31,Makassar,2024-02-22
CUST0187,Lani Sari,Male,30,Jakarta,2023-06-24
CUST0188,Eko Santoso,Female,26,Surabaya,2025-04-07
CUST0189,Bambang Sari,Female,60,Jakarta,2024-05-17
CUST0190,Putri Hidayat,Female,22,Jakarta,2025-03-22
CUST0191,Dewi Pratama,Male,42,Jakarta,2024-05-09
CUST0192,Lani Wijaya,Female,19,Surabaya,2025-08-15
CUST0193,Putri Kusuma,Male,42,Jakarta,2024-03-03
CUST0194,Lani Sari,Male,43,Surabaya,2023-01-26
CUST0195,Lani Sari,Male,54,Bandung,2023-01-23
CUST0196,Eko Sari,Male,53,Medan,2025-08-23
CUST0197,Agus Santoso,Male,41,Surabaya,2023-05-24
CUST0198,Siti Siregar,Male,50,Makassar,2023-10-31
CUST0199,Putri Kusuma,Male,40,Surabaya,2024-05-12
CUST0200,Budi Sari,Male,34,Bandung,2023-07-01
CUST0201,Lani Lestari,Female,22,Bandung,2025-07-10
CUST0202,Mega Pratama,Female,61,Jakarta,2024-09-06
CUST0203,Dedi Wijaya,Male,28,Makassar,2023-09-09
CUST0204,Rizky Hidayat,Male,63,Medan,2025-08-11
CUST0205,Andi Hidayat,Male,30,Jakarta,2023-09-29
CUST0206,Agus Lestari,Male,30,Jakarta,2024-02-19
CUST0207,Rina Sari,Female,50,Medan,2024-01-31
CUST0208,Putri Gunawan,Male,37,Jakarta,2023-05-19
CUST0209,Putri Lestari,Male,31,Surabaya,2023-03-17
CUST0210,Agus Siregar,Female,62,Medan,2023-12-02
CUST0211,Rizky Sari,Male,24,Surabaya,2025-03-08
CUST0212,Putri Kusuma,Female,39,Jakarta,2024-09-13
CUST0213,Siti Gunawan,Male,52,Surabaya,2025-08-21
CUST0214,Putri Santoso,Female,30,Bandung,2024-06-03
CUST0215,Putri Sari,Female,24,Medan,2025-04-26
CUST0216,Budi Kusuma,Male,29,Medan,2023-05-08
CUST0217,Mega Santoso,Male,54,Surabaya,2025-05-24
CUST0218,Lani Gunawan,Male,61,Jakarta,2023-04-09
CUST0219,Bambang Purnomo,Male,64,Surabaya,2024-02-11
CUST0220,Rizky Pratama,Male,47,Surabaya,2023-11-01
CUST0221,Lani Pratama,Male,41,Bandung,2025-02-14
CUST0222,Putri Wijaya,Male,60,Surabaya,2023-10-06
CUST0223,Agus Wijaya,Female,48,Medan,2024-11-08
CUST0224,Mega Siregar,Female,49,Makassar,2023-08-22
CUST0225,Agus Pratama,Female,31,Jakarta,2024-02-26
CUST0226,Rizky Hidayat,Female,56,Makassar,2024-08-25
CUST0227,Rian Gunawan,Female,38,Jakarta,2024-05-31
CUST0228,Rian Pratama,Female,30,Medan,2024-11-11
CUST0229,Putri Sari,Female,57,Bandung,2023-02-14
CUST0230,Putri Hidayat,Female,35,Jakarta,2025-05-31
CUST0231,Bambang Sari,Male,19,Bandung,2023-03-06
CUST0232,Budi Kusuma,Female,32,Medan,2023-02-14
CUST0233,Rizky Kusuma,Male,64,Surabaya,2024-12-11
CUST0234,Dedi Wijaya,Male,36,Medan,2023-09-06
CUST0235,Rian Siregar,Male,23,Jakarta,2023-05-10
CUST0236,Lani Lestari,Female,41,Medan,2023-07-05
CUST0237,Siti Lestari,Male,32,Makassar,2023-04-01
CUST0238,Rizky Pratama,Female,42,Jakarta,2024-05-03
CUST0239,Agus Gunawan,Male,40,Surabaya,2024-11-15
CUST0240,Bambang Lestari,Female,37,Jakarta,2023-10-07
CUST0241,Rizky Gunawan,Female,33,Bandung,2023-11-20
CUST0242,Siti Sari,Male,52,Jakarta,2025-02-25
CUST0243,Dedi Purnomo,Male,49,Jakarta,2025-04-11
CUST0244,Rian Hidayat,Female,33,Makassar,2024-10-28
CUST0245,Rina Kusuma,Female,27,Jakarta,2023-03-27
CUST0246,Lani Wijaya,Female,37,Jakarta,2024-05-10
CUST0247,Mega Lestari,Male,37,Surabaya,2023-01-24
CUST0248,Dewi Siregar,Female,20,Jakarta,2025-03-25
CUST0249,Mega Wijaya,Male,41,Jakarta,2023-05-23
CUST0250,Budi Santoso,Female,62,Jakarta,2023-08-13
